time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,0,0,2,1
2023-12-05 00:00:00+00:00,0,0,8,2
2023-12-06 00:00:00+00:00,0,0,28,2
2023-12-07 00:00:00+00:00,0,0,1,1
2023-12-08 00:00:00+00:00,0,0,1,1
2023-12-10 00:00:00+00:00,0,0,27,1
2023-12-11 00:00:00+00:00,0,0,1,1
2023-12-18 00:00:00+00:00,0,0,5,1
2023-12-20 00:00:00+00:00,0,0,13,1
2023-12-26 00:00:00+00:00,0,0,13,1
2023-12-27 00:00:00+00:00,2,2,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-05 00:00:00+00:00,0,0,2,2
2024-01-08 00:00:00+00:00,0,0,1,1
2024-01-09 00:00:00+00:00,1,1,0,0
2024-01-10 00:00:00+00:00,0,0,1,1
2024-01-11 00:00:00+00:00,1,1,1,1
2024-01-17 00:00:00+00:00,1,1,0,0
2024-01-18 00:00:00+00:00,0,0,1,1
2024-01-24 00:00:00+00:00,0,0,2,1
2024-01-25 00:00:00+00:00,0,0,1,1
2024-01-26 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,0,0,1,1
2024-02-02 00:00:00+00:00,0,0,7,1
2024-02-03 00:00:00+00:00,0,0,1,1
2024-02-04 00:00:00+00:00,0,0,24,1
2024-02-05 00:00:00+00:00,2,2,15,2
2024-02-06 00:00:00+00:00,1,1,0,0
2024-02-08 00:00:00+00:00,0,0,5,1
2024-02-12 00:00:00+00:00,0,0,1,1
2024-02-13 00:00:00+00:00,0,0,28,4
2024-02-14 00:00:00+00:00,0,0,8,2
2024-02-15 00:00:00+00:00,0,0,1,1
2024-02-16 00:00:00+00:00,0,0,3,1
2024-02-17 00:00:00+00:00,0,0,1,1
2024-02-19 00:00:00+00:00,0,0,26,2
2024-02-21 00:00:00+00:00,0,0,9,1
2024-02-23 00:00:00+00:00,0,0,50,1
2024-02-25 00:00:00+00:00,1,1,0,0
2024-02-26 00:00:00+00:00,1,1,18,4
2024-03-01 00:00:00+00:00,1,1,0,0
2024-03-02 00:00:00+00:00,1,1,0,0
2024-03-05 00:00:00+00:00,0,0,23,1
2024-03-07 00:00:00+00:00,0,0,2,2
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-11 00:00:00+00:00,0,0,9,1
2024-03-12 00:00:00+00:00,0,0,13,2
2024-03-14 00:00:00+00:00,1,1,28,1
