time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-15 00:00:00+00:00,0,0,42,1
2024-11-18 00:00:00+00:00,1,1,0,0
2024-11-21 00:00:00+00:00,1,1,0,0
2024-11-27 00:00:00+00:00,1,1,0,0
2024-12-04 00:00:00+00:00,1,1,0,0
2024-12-11 00:00:00+00:00,1,1,0,0
2024-12-16 00:00:00+00:00,1,1,0,0
2024-12-18 00:00:00+00:00,1,1,5,1
2024-12-21 00:00:00+00:00,1,1,0,0
2024-12-25 00:00:00+00:00,1,1,0,0
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,0,0,1,1
2025-01-08 00:00:00+00:00,1,1,0,0
2025-01-15 00:00:00+00:00,1,1,0,0
2025-01-20 00:00:00+00:00,1,1,0,0
2025-01-22 00:00:00+00:00,1,1,0,0
2025-01-29 00:00:00+00:00,1,1,1,1
