time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-11 00:00:00+00:00,0,0,2,2
2023-12-13 00:00:00+00:00,0,0,1,1
2023-12-20 00:00:00+00:00,1,1,0,0
2023-12-25 00:00:00+00:00,1,1,0,0
2023-12-26 00:00:00+00:00,1,1,2,1
2023-12-27 00:00:00+00:00,0,0,8,1
2023-12-30 00:00:00+00:00,2,1,0,0
2023-12-31 00:00:00+00:00,0,0,2,2
2024-01-01 00:00:00+00:00,0,0,2,2
2024-01-11 00:00:00+00:00,1,1,0,0
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-16 00:00:00+00:00,0,0,1,1
2024-01-29 00:00:00+00:00,1,1,0,0
2024-01-30 00:00:00+00:00,0,0,1,1
2024-02-21 00:00:00+00:00,0,0,3,2
2024-02-26 00:00:00+00:00,0,0,1,1
2024-02-28 00:00:00+00:00,0,0,8,3
2024-02-29 00:00:00+00:00,1,1,0,0
2024-03-05 00:00:00+00:00,0,0,33,1
2024-03-06 00:00:00+00:00,0,0,3,2
2024-03-07 00:00:00+00:00,0,0,2,1
2024-03-09 00:00:00+00:00,0,0,2,1
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-18 00:00:00+00:00,0,0,1,1
2024-03-19 00:00:00+00:00,0,0,1,1
2024-03-20 00:00:00+00:00,0,0,1,1
2024-03-22 00:00:00+00:00,0,0,1,1
2024-03-24 00:00:00+00:00,0,0,6,2
2024-04-01 00:00:00+00:00,1,1,0,0
2024-04-05 00:00:00+00:00,0,0,40,2
2024-04-06 00:00:00+00:00,0,0,14,1
2024-04-08 00:00:00+00:00,0,0,7,2
2024-04-09 00:00:00+00:00,0,0,33,1
2024-04-15 00:00:00+00:00,0,0,1,1
2024-04-23 00:00:00+00:00,1,1,0,0
2024-04-28 00:00:00+00:00,1,1,0,0
2024-04-30 00:00:00+00:00,0,0,1,1
2024-05-01 00:00:00+00:00,0,0,4,2
2024-05-02 00:00:00+00:00,1,1,0,0
2024-05-09 00:00:00+00:00,1,1,3,1
2024-05-14 00:00:00+00:00,0,0,1,1
2024-05-22 00:00:00+00:00,0,0,1,1
2024-05-23 00:00:00+00:00,0,0,1,1
2024-05-24 00:00:00+00:00,0,0,1,1
2024-05-30 00:00:00+00:00,1,1,2,1
2024-06-01 00:00:00+00:00,1,1,1,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,0,0
2024-06-20 00:00:00+00:00,0,0,3,1
2024-06-26 00:00:00+00:00,1,1,0,0
2024-06-27 00:00:00+00:00,0,0,1,1
2024-07-07 00:00:00+00:00,0,0,1,1
2024-07-08 00:00:00+00:00,0,0,3,1
2024-07-09 00:00:00+00:00,0,0,5,1
2024-07-15 00:00:00+00:00,0,0,2,1
2024-07-18 00:00:00+00:00,0,0,1,1
2024-07-19 00:00:00+00:00,0,0,1,1
2024-07-20 00:00:00+00:00,0,0,1,1
2024-07-21 00:00:00+00:00,0,0,19,1
2024-07-26 00:00:00+00:00,1,1,0,0
2024-07-30 00:00:00+00:00,0,0,1,1
2024-07-31 00:00:00+00:00,0,0,1,1
2024-08-02 00:00:00+00:00,3,1,0,0
2024-08-06 00:00:00+00:00,1,1,0,0
2024-08-07 00:00:00+00:00,1,1,2,2
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,1,1,1,1
2024-08-15 00:00:00+00:00,1,1,0,0
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,0,0,1,1
2024-08-18 00:00:00+00:00,1,1,0,0
2024-08-20 00:00:00+00:00,1,1,24,1
2024-08-22 00:00:00+00:00,1,1,0,0
2024-08-23 00:00:00+00:00,1,1,0,0
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,1,1,0,0
2024-08-27 00:00:00+00:00,0,0,11,1
2024-08-28 00:00:00+00:00,0,0,27,2
2024-08-29 00:00:00+00:00,1,1,0,0
2024-08-30 00:00:00+00:00,1,1,8,1
2024-08-31 00:00:00+00:00,1,1,2,1
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,2,2,0,0
2024-09-07 00:00:00+00:00,2,2,0,0
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,1,1,0,0
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-17 00:00:00+00:00,0,0,4,1
2024-09-20 00:00:00+00:00,0,0,2,1
2024-09-21 00:00:00+00:00,1,1,0,0
2024-09-27 00:00:00+00:00,0,0,1,1
2024-09-30 00:00:00+00:00,0,0,1,1
2024-10-01 00:00:00+00:00,0,0,2,2
2024-10-04 00:00:00+00:00,0,0,1,1
2024-10-11 00:00:00+00:00,0,0,1,1
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-18 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,0,0,3,1
2024-10-24 00:00:00+00:00,0,0,1,1
